Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aaron	Richard		D	MI04	2025	3/24/2025	40003749
	Abrevaya	David		W	IL09	2025	5/19/2025	8005
	Abughazaleh	Katherine M.		C	IL09	2025	5/14/2025	10065677
	Adeimy	Deborah		X	FL22	2025	5/22/2025	30023997
	Al-Aqidi	Dalia		X	MN05	2025	5/22/2025	30023906
	Albright	Joe		C	IL16	2025	5/15/2025	10068916
	Albright	Joe		X	IL16	2025	5/22/2025	30023834
Hon.	Allen	Richard W.		P	GA12	2025	1/16/2025	20026537
Hon.	Allen	Richard W.		P	GA12	2025	2/20/2025	20026727
Hon.	Allen	Richard W.		P	GA12	2025	3/12/2025	20027927
Hon.	Allen	Richard W.		P	GA12	2025	5/15/2025	20030316
Hon.	Allred	Colin		T	TX32	2025	5/2/2025	10063338
Hon.	Allred	Colin		X	TX32	2025	1/31/2025	30022490
	Alonzo	Edwin		C	CA23	2025	5/18/2025	10070230
Mr.	Amyx	William Kory		C	IN05	2025	5/22/2025	10070287
Mr.	Amyx	William Kory		D	IN05	2025	5/27/2025	40004782
	Antropov	Jayden		D	FL22	2025	5/19/2025	40004777
	Anzoli	Armando Luciano		C	RI02	2025	2/5/2025	10063361
	Arellano	Julian		C	CA49	2025	3/4/2025	10063461
Hon.	Auchincloss	Jake		P	MA04	2025	2/21/2025	20027810
Hon.	Auchincloss	Jake		P	MA04	2025	5/22/2025	20030397
Mr.	Ayouaz	Ismaine		D	PA04	2025	5/19/2025	40004776
	Baker	Ms Tj		C	TX18	2025	5/29/2025	10070369
Hon.	Banks	James E Hon		E	IN03	2025	1/7/2025	8220720
	Barkley	Michael James Mr		C	CA05	2025	5/15/2025	10069133
	Benjamin	Laura S.		C	WI03	2025	5/15/2025	10068011
	Bennett	Christopher Jerman		C	CA06	2025	5/12/2025	10068081
	Bennett	Rebecca		X	NJ07	2025	3/10/2025	8220784
Dr.	Berry	Allen D.		C	TX18	2025	5/17/2025	10069231
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2025	1/6/2025	20026517
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2025	3/8/2025	20027932
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2025	5/2/2025	20030262
Hon.	Bilirakis	Gus M.		P	FL12	2025	2/6/2025	8220747
Hon.	Bishop	Dan Daniel		T	NC08	2025	1/17/2025	10063263
	Blaha	Dylan Thomas		C	IL13	2025	5/15/2025	10069116
	Blalock	Clarence		C	GA14	2025	2/28/2025	10063440
Hon.	Blumenauer	Earl		T	OR03	2025	1/29/2025	10063241
Hon.	Blunt Rochester	Lisa		E	DE00	2025	1/21/2025	8220725
Hon.	Bresnahan	Rob		G	PA08	2025	4/14/2025	8220832
Hon.	Bresnahan	Rob		P	PA08	2025	2/13/2025	20024346
Hon.	Bresnahan	Rob		P	PA08	2025	3/7/2025	20027923
Hon.	Bresnahan	Rob		P	PA08	2025	3/10/2025	20027940
Hon.	Bresnahan	Rob		P	PA08	2025	3/27/2025	20029034
Hon.	Bresnahan	Rob		P	PA08	2025	4/9/2025	20029055
Hon.	Bresnahan	Rob		P	PA08	2025	4/22/2025	20030212
Hon.	Bresnahan	Rob		P	PA08	2025	4/28/2025	20030238
Hon.	Bresnahan	Rob		P	PA08	2025	5/8/2025	20030291
Hon.	Bresnahan	Rob		P	PA08	2025	5/11/2025	20030312
Hon.	Bresnahan	Rob		P	PA08	2025	5/12/2025	20030336
	Bristow	Nigel William		C	NC09	2025	5/15/2025	10068989
	Bucshon	Larry D.		T	IN08	2025	2/28/2025	10063365
Hon.	Burgess	Michael C.		T	TX26	2025	2/2/2025	10063293
	Butierez	Daniel		C	AZ07	2025	5/20/2025	10069099
	Butierez	Daniel		X	AZ07	2025	5/22/2025	30023919
Hon.	Bynum	Janelle		X	OR05	2025	5/9/2025	8220862
	Byors	Jason		D	CA41	2025	5/19/2025	40004770
Hon.	Caraveo	Yadira		T	CO08	2025	5/3/2025	10063260
Hon.	Caraveo	Yadira		X	CO08	2025	1/13/2025	30022470
Hon.	Cárdenas	Tony		T	CA29	2025	1/31/2025	10063335
Hon.	Carl	Jerry Lee		T	AL01	2025	1/31/2025	10063337
Hon.	Carter	Earl Leroy		P	GA01	2025	3/6/2025	20027913
Hon.	Carter	Earl Leroy		P	GA01	2025	4/23/2025	20030215
	Cartwright	Jasen D.		C	MI09	2025	3/9/2025	10063490
	Cartwright	Jasen D.		X	MI09	2025	3/19/2025	30022512
Hon.	Cartwright	Matt		T	PA08	2025	5/1/2025	10063287
Hon.	Cartwright	Matt		X	PA08	2025	1/20/2025	30022476
Mr.	Cerreta	Damon Lawrence		C	CT04	2025	5/5/2025	10063510
	Chakalian	Paul		X	CA23	2025	5/9/2025	8220864
	Chakrabarti	Saikat		X	CA11	2025	3/24/2025	30022517
	Christian	Jerrad Shane		C	OH12	2025	1/9/2025	10063243
	Chung	Eric		X	MI10	2025	5/28/2025	30024004
Hon.	Cisneros	Gilbert		P	CA31	2025	2/11/2025	20026726
Hon.	Cisneros	Gilbert		P	CA31	2025	3/6/2025	20027891
Hon.	Cisneros	Gilbert		P	CA31	2025	4/7/2025	20029026
Hon.	Cisneros	Gilbert		P	CA31	2025	5/6/2025	20030288
Hon.	Cisneros	Gilbert		X	CA31	2025	4/16/2025	30022697
	Clayton	David		C	NC05	2025	5/20/2025	10070266
	Cleveland	Russell Tyler		D	MT01	2025	5/19/2025	40004774
Hon.	Cohen	Steve		P	TN09	2025	1/10/2025	20026548
Hon.	Cohen	Steve		P	TN09	2025	4/1/2025	20028025
Hon.	Cohen	Steve		P	TN09	2025	5/28/2025	20030416
	Colin	Loren		D	CA34	2025	3/3/2025	40003720
Hon.	Collins	Michael A.		P	GA10	2025	1/1/2025	20026489
Hon.	Collins	Michael A.	Jr	P	GA10	2025	2/2/2025	20026696
Hon.	Collins	Michael A.	Jr	P	GA10	2025	2/21/2025	20027820
Hon.	Collins	Michael A.	Jr	P	GA10	2025	3/12/2025	20027962
Hon.	Collins	Michael A.	Jr	P	GA10	2025	4/11/2025	20029130
Hon.	Collins	Michael A.	Jr	P	GA10	2025	5/1/2025	20029131
Hon.	Comer	James		P	KY01	2025	1/10/2025	20018054
Hon.	Comer	James		P	KY01	2025	2/11/2025	20026750
	Compton	William Dakota		C	KY02	2025	2/19/2025	10063398
	Conforti	Niki		C	IL06	2025	5/13/2025	10068252
	Conley	Cait		X	NY17	2025	5/22/2025	30023625
Hon.	Connolly	Gerald E.		P	VA11	2025	2/6/2025	20026724
Hon.	Connolly	Gerald E.		P	VA11	2025	5/17/2025	20030388
	Conroy	Carmela		C	WA05	2025	5/15/2025	10068358
	Cooke	Rebecca		C	WI03	2025	3/27/2025	10063539
	Coughlin	Kevin		X	OH13	2025	5/7/2025	30023034
	Couvillon	Sam		X	GA09	2025	5/22/2025	30023942
Hon.	Crank	Jeffrey		G	CO05	2025	4/2/2025	8220822
	Croisant	John Thomas		A	OK01	2025	3/13/2025	10063536
	Croisant	John Thomas		C	OK01	2025	3/10/2025	10063329
	Croisant	John Thomas		D	OK01	2025	3/3/2025	40003719
Ms.	Crump	Laverne Barlette		D	TX18	2025	5/16/2025	8220946
